date,value_acc,value_met,bias_coef,diff
2022-05-27 11:00:00,0.0,0.0,0.0,0.0
2022-05-27 12:00:00,0.0,0.0,0.0,0.0
2022-05-27 13:00:00,0.0,0.0,0.0,0.0
2022-05-27 14:00:00,0.0,0.0,0.0,0.0
2022-05-27 15:00:00,0.0,0.0,0.0,0.0
2022-05-27 16:00:00,0.0,0.0,0.0,0.0
2022-05-27 17:00:00,0.0,0.0,0.0,0.0
2022-05-27 18:00:00,0.0,0.0,0.0,0.0
2022-05-27 19:00:00,0.0,0.0,0.0,0.0
2022-05-27 20:00:00,0.0,0.0,0.0,0.0
2022-05-27 21:00:00,0.0,0.0,0.0,0.0
2022-05-27 22:00:00,0.0,0.0,0.0,0.0
2022-05-27 23:00:00,0.0,0.0,0.0,0.0
2022-05-28 00:00:00,0.0,0.0,0.0,0.0
2022-05-28 01:00:00,0.0,0.0,0.0,0.0
2022-05-28 02:00:00,0.0,0.0,0.0,0.0
2022-05-28 03:00:00,0.0,0.0,0.0,0.0
2022-05-28 04:00:00,0.0,0.0,0.0,0.0
2022-05-28 05:00:00,0.0,0.0,0.0,0.0
2022-05-28 06:00:00,0.0,0.0,0.0,0.0
2022-05-28 07:00:00,0.0,0.0,0.0,0.0
2022-05-28 08:00:00,0.0,0.0,0.0,0.0
2022-05-28 09:00:00,0.0,0.0,0.0,0.0
2022-05-28 10:00:00,0.0,0.0,0.0,0.0
2022-05-28 11:00:00,0.0,0.0,0.0,0.0
2022-05-28 12:00:00,0.0,0.0,0.0,0.0
2022-05-28 13:00:00,0.0,0.0,0.0,0.0
2022-05-28 14:00:00,0.0,0.0,0.0,0.0
2022-05-28 15:00:00,0.0,0.0,0.0,0.0
2022-05-28 16:00:00,0.0,0.0,0.0,0.0
2022-05-28 17:00:00,0.0,0.0,0.0,0.0
2022-05-28 18:00:00,0.0,0.0,0.0,0.0
2022-05-28 19:00:00,0.0,0.0,0.0,0.0
2022-05-28 20:00:00,0.0,0.0,0.0,0.0
2022-05-28 21:00:00,0.0,0.0,0.0,0.0
2022-05-28 22:00:00,0.0,0.0,0.0,0.0
2022-05-28 23:00:00,0.0,0.0,0.0,0.0
2022-05-29 00:00:00,0.0,0.0,0.0,0.0
2022-05-29 01:00:00,0.0,0.0,0.0,0.0
2022-05-29 02:00:00,0.0,0.0,0.0,0.0
